id,nombre,tipo,sector,lat,lon,coord_dms,crtm05_x,crtm05_y,acceso,requiere_4x4,requiere_guia,requiere_reserva,precision_coordenada,google_place_id,google_maps_url,google_maps_como_llegar,waze_url,telefono
playa-preciosa,Playa Preciosa,playa,Golfo Dulce / Puerto Jiménez,8.5126872,-83.2893692,"8°30'45.67""N 83°17'21.73""W",578235.2,941331.0,publico_condicionado,True,False,False,alta,ChIJX79abkxhpI8RDu9FfsFIIHM,"https://www.google.com/maps/search/?api=1&query=8.5126872,-83.2893692&query_place_id=ChIJX79abkxhpI8RDu9FfsFIIHM","https://www.google.com/maps/dir/?api=1&destination=8.5126872,-83.2893692&destination_place_id=ChIJX79abkxhpI8RDu9FfsFIIHM","https://waze.com/ul?ll=8.5126872,-83.2893692&navigate=yes",
playa-platanares,Playa Platanares,playa,Golfo Dulce / Puerto Jiménez,8.5171235,-83.2885607,"8°31'01.64""N 83°17'18.82""W",578323.3,941821.8,publico_condicionado,False,False,False,alta,ChIJa9R3UClnpI8RRkAMtevc1pM,"https://www.google.com/maps/search/?api=1&query=8.5171235,-83.2885607&query_place_id=ChIJa9R3UClnpI8RRkAMtevc1pM","https://www.google.com/maps/dir/?api=1&destination=8.5171235,-83.2885607&destination_place_id=ChIJa9R3UClnpI8RRkAMtevc1pM","https://waze.com/ul?ll=8.5171235,-83.2885607&navigate=yes",
punta-arenitas,Punta Arenitas,playa,Golfo Dulce / Puerto Jiménez,8.5411583,-83.2857767,"8°32'28.17""N 83°17'08.80""W",578624.9,944480.6,publico_condicionado,False,False,False,media,ChIJdZMOfBlnpI8RW7gwkDBWf20,"https://www.google.com/maps/search/?api=1&query=8.5411583,-83.2857767&query_place_id=ChIJdZMOfBlnpI8RW7gwkDBWf20","https://www.google.com/maps/dir/?api=1&destination=8.5411583,-83.2857767&destination_place_id=ChIJdZMOfBlnpI8RW7gwkDBWf20","https://waze.com/ul?ll=8.5411583,-83.2857767&navigate=yes",
playa-tamales,Playa Tamales,playa,Golfo Dulce / camino a Matapalo,8.4592135,-83.2783198,"8°27'33.17""N 83°16'41.95""W",579462.7,935419.3,publico,False,False,False,alta,ChIJYfbts0RgpI8RMNy9MQiT_YM,"https://www.google.com/maps/search/?api=1&query=8.4592135,-83.2783198&query_place_id=ChIJYfbts0RgpI8RMNy9MQiT_YM","https://www.google.com/maps/dir/?api=1&destination=8.4592135,-83.2783198&destination_place_id=ChIJYfbts0RgpI8RMNy9MQiT_YM","https://waze.com/ul?ll=8.4592135,-83.2783198&navigate=yes",
playa-sombrero,Playa Sombrero,playa,Cabo Matapalo,8.4175,-83.2794444,"8°25'03.00""N 83°16'46.00""W",579347.4,930805.8,publico_condicionado,True,False,False,baja,ChIJ-RTAXJqKpI8RyISY0Fwb7qg,"https://www.google.com/maps/search/?api=1&query=8.4175,-83.2794444&query_place_id=ChIJ-RTAXJqKpI8RyISY0Fwb7qg","https://www.google.com/maps/dir/?api=1&destination=8.4175,-83.2794444&destination_place_id=ChIJ-RTAXJqKpI8RyISY0Fwb7qg","https://waze.com/ul?ll=8.4175,-83.2794444&navigate=yes",
playa-pan-dulce,Playa Pan Dulce,playa,Cabo Matapalo,8.3985295,-83.2803686,"8°23'54.71""N 83°16'49.33""W",579249.5,928707.5,publico_condicionado,True,False,False,alta,ChIJc342Y-6KpI8RKxbeDfo1zB4,"https://www.google.com/maps/search/?api=1&query=8.3985295,-83.2803686&query_place_id=ChIJc342Y-6KpI8RKxbeDfo1zB4","https://www.google.com/maps/dir/?api=1&destination=8.3985295,-83.2803686&destination_place_id=ChIJc342Y-6KpI8RKxbeDfo1zB4","https://waze.com/ul?ll=8.3985295,-83.2803686&navigate=yes",
playa-carbonera,Playa Carbonera,playa,Cabo Matapalo,8.3924681,-83.2794464,"8°23'32.89""N 83°16'46.01""W",579352.3,928037.4,publico_condicionado,True,False,False,alta,ChIJ4QdAo-WKpI8R1qHeJtVW-U4,"https://www.google.com/maps/search/?api=1&query=8.3924681,-83.2794464&query_place_id=ChIJ4QdAo-WKpI8R1qHeJtVW-U4","https://www.google.com/maps/dir/?api=1&destination=8.3924681,-83.2794464&destination_place_id=ChIJ4QdAo-WKpI8R1qHeJtVW-U4","https://waze.com/ul?ll=8.3924681,-83.2794464&navigate=yes",
playa-matapalo,Playa Matapalo,playa,Cabo Matapalo,8.3929742,-83.2801271,"8°23'34.71""N 83°16'48.46""W",579277.2,928093.2,publico_condicionado,True,False,False,media,ChIJR_2EEQCLpI8R5nvnFdyAZk0,"https://www.google.com/maps/search/?api=1&query=8.3929742,-83.2801271&query_place_id=ChIJR_2EEQCLpI8R5nvnFdyAZk0","https://www.google.com/maps/dir/?api=1&destination=8.3929742,-83.2801271&destination_place_id=ChIJR_2EEQCLpI8R5nvnFdyAZk0","https://waze.com/ul?ll=8.3929742,-83.2801271&navigate=yes",
catarata-king-louis,Catarata King Louis,catarata,Cabo Matapalo,8.3829327,-83.2864899,"8°22'58.56""N 83°17'11.36""W",578578.5,926981.4,publico_condicionado,True,False,False,alta,ChIJ2b3yoaqLpI8RzfShBxCBicU,"https://www.google.com/maps/search/?api=1&query=8.3829327,-83.2864899&query_place_id=ChIJ2b3yoaqLpI8RzfShBxCBicU","https://www.google.com/maps/dir/?api=1&destination=8.3829327,-83.2864899&destination_place_id=ChIJ2b3yoaqLpI8RzfShBxCBicU","https://waze.com/ul?ll=8.3829327,-83.2864899&navigate=yes",
playa-piro,Playa Piro,playa,Pacífico / Piro-Río Oro,8.398327,-83.3482289,"8°23'53.98""N 83°20'53.62""W",571776.1,928672.1,publico_condicionado,True,False,False,media,ChIJ_x0BtpGJpI8RFte1UN5IcaM,"https://www.google.com/maps/search/?api=1&query=8.398327,-83.3482289&query_place_id=ChIJ_x0BtpGJpI8RFte1UN5IcaM","https://www.google.com/maps/dir/?api=1&destination=8.398327,-83.3482289&destination_place_id=ChIJ_x0BtpGJpI8RFte1UN5IcaM","https://waze.com/ul?ll=8.398327,-83.3482289&navigate=yes",
